PartID,PartCode,SAPMaterial,PartName,Brand,Description,Department,PartType,Query,StrongModel,Searchable
20,SPM-HVA-001,700005027,Emergency stop,ABB,1SFA619550R1071,Utility,Electric,ABB 1SFA619550R1071 Emergency stop,True,True
21,SPM-MC4-029,700005043,Pick & place rubber gripper,,Pick & place rubber gripper,Coating,Rubber,Pick & place rubber gripper,False,True
22,SPM-MC4-034,700005048,Seal solenoid valve,Netzsch,CPV14-VI-P 1/8-150,Coating,Pneumatic & Hydraulic,Netzsch CPV14-VI-P 1/8-150 Seal solenoid valve,True,True
23,SPM-MC4-041,700005053,Connector,Harting,91A279R08,Coating,Mechanical,Harting 91A279R08 Connector,True,True
24,SPM-MC4-043,700005055,Connection Units,ifm,EVC004,Coating,Electric,ifm EVC004 Connection Units,True,True
25,SPM-MC4-044,700005056,Seal Kit,Festo,DFM-50-PAABE6,Coating,Rubber,Festo DFM-50-PAABE6 Seal Kit,True,True
26,SPM-MC4-049,700005061,Power Supply 230V-27V,Kuka,KBR POWER SUPPLY KUKA,Coating,Electric,Kuka KBR POWER SUPPLY KUKA Power Supply 230V-27V,False,True
27,SPM-MC4-047,700005059,Cylinder,SMC,CDM2E20-50JZ,Coating,Pneumatic & Hydraulic,SMC CDM2E20-50JZ Cylinder,True,True
28,SPM-MC4-069,700005079,SIB-Standard Complete,Kuka,,Coating,Electric,Kuka SIB-Standard Complete,False,True
29,SPM-MC4-074,700005083,Set of Wearing Parts,Festo,DNC-125-PPVA,Coating,Rubber,Festo DNC-125-PPVA Set of Wearing Parts,True,True
30,SPM-MC4-079,700005088,"Cable Assembly M12,4PIN",ifm,EVC005,Coating,Electric,"ifm EVC005 Cable Assembly M12,4PIN",True,True
31,SPM-MC4-083,700005092,Directional Control Valve,SMC,VG342R-5DZ-06F-X87,Coating,Mechanical,SMC VG342R-5DZ-06F-X87 Directional Control Valve,True,True
32,SPM-MC4-128,700005136,Gasket,,Style 2500 L280xW154 mm.,Coating,Mechanical,Style 2500 L280xW154 mm. Gasket,True,True
33,SPM-MC6-006,700005146,Photoelectric Proximity Switch,Sick,WT18-3P431,Coating,Electric,Sick WT18-3P431 Photoelectric Proximity Switch,True,True
34,SPM-MC6-025,700005164,Laser Displacement,ifm,01D105 01DLF3KG,Coating,Electric,ifm 01D105 01DLF3KG Laser Displacement,True,True
35,SPM-MC6-026,700005165,LED Light Source,V.Light,TX2-D190X19-R3-R-24V,Coating,Electric,V.Light TX2-D190X19-R3-R-24V LED Light Source,True,True
36,SPM-MC6-027,700005166,Light Source Control,V.Light,Power,Coating,Electric,V.Light Power Light Source Control,False,True
37,SPM-MC6-030,700005169,Photo Sensor (Receiver),Sick,WE100L-F2132,Coating,Electric,Sick WE100L-F2132 Photo Sensor (Receiver),True,True
38,SPM-MC6-060,700005196,Fitting & Pipe Set L62,Chanaseel,SUS 304,Coating,Mechanical,Chanaseel SUS 304 Fitting & Pipe Set L62,True,True
39,LEGACY-3529C0A82583,,Bladder,,118.4/10 mm.,,,118.4/10 mm. Bladder,True,True
40,LEGACY-A56E3AC5A577,,Ring Clamp,,"118.4/5 mm./MC6,MC4",,,"118.4/5 mm./MC6,MC4 Ring Clamp",True,True
41,LEGACY-BB5075DBB9EA,,Ring Clamp,,"118.4/10 mm./MC6,MC4",,,"118.4/10 mm./MC6,MC4 Ring Clamp",True,True
42,LEGACY-3675CE2535E3,,Ring Clamp,,93/5 mm.,,,93/5 mm. Ring Clamp,True,True
43,SPM-RHK-041,700005604,Pneumatic Vibrator,,GT10,Slurry,Pneumatic & Hydraulic,GT10 Pneumatic Vibrator,True,True
44,SPM-RHK-042,700005605,Fotek Proximity Switch,,PS-05N,Slurry,Electric,PS-05N Fotek Proximity Switch,True,True
45,SPM-RHK-043,700005606,Solenoid Valve,SMC,VT307V-5D1-01,Slurry,Pneumatic & Hydraulic,SMC VT307V-5D1-01 Solenoid Valve,True,True
46,SPM-COM-064,700005608,Viper Sounder,,VPR-MT32-230,Common Part,Electric,VPR-MT32-230 Viper Sounder,True,True
47,SPM-HEM-099,700005609,Milling Hub 20L,P General,20L (Z-118),Slurry,Mechanical,P General 20L (Z-118) Milling Hub 20L,True,True
48,SPM-MC4-144,700005610,Gas Solenoid Valve,Valvario,VAS1-R/NW 88007474,Coating,Pneumatic & Hydraulic,Valvario VAS1-R/NW 88007474 Gas Solenoid Valve,True,True
49,SPM-MC4-145,700005611,Digital Output Module,Siemens,ET 200SP,Coating,Electric,Siemens ET 200SP Digital Output Module,True,True
50,SPM-MC4-146,700005612,Power Supply PLC,Siemens,S7-1500,Coating,Electric,Siemens S7-1500 Power Supply PLC,True,True
51,SPM-MC4-147,700005613,Guid Unit,Festo,FENG-50-300-KF,Coating,Mechanical,Festo FENG-50-300-KF Guid Unit,True,True
52,SPM-SCR-039,700005614,Motor Blow,Elektror,"HRD 2T FU-95/2,2",Utility,Mechanical,"Elektror HRD 2T FU-95/2,2 Motor Blow",True,True
53,SPM-MCY-128,700005628,Micro Mist Separator,SMC,AMH550C-F-10BD-T,Coating,Mechanical,SMC AMH550C-F-10BD-T Micro Mist Separator,True,True
54,SPM-MCY-129,700005629,Seal Kit,SMC,CY3B25-PS,Coating,Mechanical,SMC CY3B25-PS Seal Kit,True,True
55,SPM-WAS-026,700005631,Solenoid-Driven Metering Pump,TACMINA,PZ-30-VTCF-4X9PVC-W-S-JPL,Utility,Pneumatic & Hydraulic,TACMINA PZ-30-VTCF-4X9PVC-W-S-JPL Solenoid-Driven Metering Pump,True,True
56,SPM-WAS-027,700005632,Power Supply,,PS2494-YE,Utility,Electric,PS2494-YE Power Supply,True,True
57,SPM-RHK-046,700005641,Shaft for Empty Station Shutter Door,,,Slurry,Other,Shaft for Empty Station Shutter Door,False,True
58,SPM-RHK-044,700005639,Air Cylinder,SMC,CDBA2B50-250-HL-XC4,Slurry,Mechanical,SMC CDBA2B50-250-HL-XC4 Air Cylinder,True,True
59,SPM-MC4-152,700005967,Flame Monitor,DURAG,AAL 75 P0D,Coating,Electric,DURAG AAL 75 P0D Flame Monitor,True,True
60,SPM-MC6-162,700005978,Weighing Module,,7MH4900-2AA01,Coating,Pneumatic & Hydraulic,7MH4900-2AA01 Weighing Module,True,True
61,SPM-MC6-163,700005979,Power cable,,6FX5002-5CA41,Coating,Pneumatic & Hydraulic,6FX5002-5CA41 Power cable,True,True
62,SPM-RHK-048,700005980,Bearing Housing รอ Flage delete,,UCFL204,Slurry,Pneumatic & Hydraulic,UCFL204 Bearing Housing รอ Flage delete,True,True
63,SPM-MCY-139,700007022,Needle Roller Bearing RNA6902R,NTN,RNA6902R,Coating,Mechanical,NTN RNA6902R Needle Roller Bearing RNA6902R,True,True
64,SPM-MCY-140,700007023,Linear Bushing LMF20UU,THK,LMF20UU,Coating,Mechanical,THK LMF20UU Linear Bushing LMF20UU,True,True
65,SPM-CAL-025,700007025,Gas Regulator FMF301510003AD,Pietro Fiorentini,FMF301510003AD,Coating,Mechanical,Pietro Fiorentini FMF301510003AD Gas Regulator FMF301510003AD,True,True
66,SPM-MC6-168,700007092,Double Motor Module,,6AU1425-0AA00-0AA0,Coating,Electric,6AU1425-0AA00-0AA0 Double Motor Module,True,True
67,SPM-MC6-169,700007093,Double Motor Module,,6SL3130-6AE21-0AB1,Coating,Electric,6SL3130-6AE21-0AB1 Double Motor Module,True,True
68,SPM-CLN-017,700007320,Chain,,25-1R,Coating,Mechanical,25-1R Chain,True,True
69,SPM-CLN-018,700007321,Chain,,35-1R,Coating,Mechanical,35-1R Chain,True,True
70,SPM-MC6-170,700007326,LED Light Source,V.Light,TX2-D190X19-R3-R-24V,Coating,Electric,V.Light TX2-D190X19-R3-R-24V LED Light Source,True,True
71,SPM-SCR-032,,Gas Train,,MB-ZRDLE 407 B01 S20,,,MB-ZRDLE 407 B01 S20 Gas Train,True,True
72,LEGACY-C729521311C7,,Ring Clamp,,83/3 mm.,,,83/3 mm. Ring Clamp,True,True
73,LEGACY-59C7569293E6,,Bladder,,Free Size/All,,,Free Size/All Bladder,True,True
74,LEGACY-53585E3676F8,,Bladder,,118.4/5 mm.,,,118.4/5 mm. Bladder,True,True
75,SPM-NAU-005,700005351,Indicator Weight Scale,Precia Molen,X-112-B,Slurry,Mechanical,Precia Molen X-112-B Indicator Weight Scale,True,True
76,SPM-NAU-007,700005352,Rotary Joint,Deubltn,Union 1/2 BSPRH (V201-0202-07-010),Slurry,Mechanical,Deubltn Union 1/2 BSPRH (V201-0202-07-010) Rotary Joint,True,True
77,SPM-NAU-008,700005353,Rotary Joint,Deubltn,Union 3/8 BSPRH (V201-0101-02-032,Slurry,Mechanical,Deubltn Union 3/8 BSPRH (V201-0101-02-032 Rotary Joint,True,True
78,SPM-NAU-013,700005358,Oil Seal 35x52x7,,TC 35x52x7,Slurry,Mechanical,TC 35x52x7 Oil Seal 35x52x7,True,True
79,SPM-PRE-001,700005363,Gasket,0,310x66x3,Coating,Electric,0 310x66x3 Gasket,True,True
80,SPM-PRE-002,700005364,ER310-01Parect Electronic Regulator,CKD,ER310-010-B,Coating,Electric,CKD ER310-010-B ER310-01Parect Electronic Regulator,True,True
81,SPM-PRE-003,700005365,Ministry Wiring Block Manifold,CKD,MN4TB210-H10-LT30-5-3,Coating,Electric,CKD MN4TB210-H10-LT30-5-3 Ministry Wiring Block Manifold,True,True
82,SPM-PRE-004,700005366,Fuse cap,-,PA 100,Coating,Electric,PA 100 Fuse cap,True,True
83,SPM-PRE-005,700005367,Fuse base,-,AFA 100,Coating,Electric,AFA 100 Fuse base,True,True
84,SPM-PRE-013,700005374,Temp Control,Omron,E5CN-C2MT-500,Coating,Electric,Omron E5CN-C2MT-500 Temp Control,True,True
85,SPM-PRE-025,700005383,Photoelectric sensor,Omron,E3FA-RP21,Coating,Electric,Omron E3FA-RP21 Photoelectric sensor,True,True
86,SPM-PRE-026,700005384,Power supply,,RPLD 0060,Coating,Electric,RPLD 0060 Power supply,True,True
87,SPM-PRE-028,700005386,Pressure Control,,1PDK230632S00042846,Coating,Pneumatic & Hydraulic,1PDK230632S00042846 Pressure Control,True,True
88,SPM-PRE-029,700005387,Transformer,Fida,TRS820P/11,Coating,Electric,Fida TRS820P/11 Transformer,True,True
89,SPM-PRE-033,700005391,Digital Controller,Omron,E5CC-RW2AUM-000,Coating,Pneumatic & Hydraulic,Omron E5CC-RW2AUM-000 Digital Controller,True,True
90,SPM-PRE-034,700005392,Connecting socket,Omron,P2CF-11,Coating,Pneumatic & Hydraulic,Omron P2CF-11 Connecting socket,True,True
91,SPM-PRE-035,700005393,Magnetic Contactor,Mitsubishi,S-T25 200-240V,Coating,Electric,Mitsubishi S-T25 200-240V Magnetic Contactor,True,True
92,SPM-PRE-036,700005394,Fire Check Burners,Riello,E19AA8B0,Coating,Electric,Riello E19AA8B0 Fire Check Burners,True,True
93,SPM-RHK-002,700005416,Cylinder,SMC,CDQ2B40R-50DMZ-M9BVAVL-XC6,Slurry,Pneumatic & Hydraulic,SMC CDQ2B40R-50DMZ-M9BVAVL-XC6 Cylinder,True,True
94,SPM-RHK-008,700005422,Inductive Sensor PNP,RS Componance,208-184,Slurry,Electric,RS Componance 208-184 Inductive Sensor PNP,False,True
95,SPM-SCB-002,700005445,Flow switch,Sika,VHS06M25171R21,Utility,Electric,Sika VHS06M25171R21 Flow switch,True,True
96,SPM-SCD-005,700005453,Power supply 24VDC,ABB,SM16257932,Slurry,Electric,ABB SM16257932 Power supply 24VDC,True,True
97,SPM-SCD-006,700005454,Digital Input 24VCD,ABB,SE16250004,Slurry,Electric,ABB SE16250004 Digital Input 24VCD,True,True
98,SPM-SCD-007,700005455,Digital Input,ABB,SC13271356,Slurry,Electric,ABB SC13271356 Digital Input,True,True
99,SPM-SCD-008,700005456,Digital Input 10VCD,ABB,SI16291197,Slurry,Electric,ABB SI16291197 Digital Input 10VCD,True,True
100,SPM-SCD-001,700005449,Digital input 24VDC,ABB,SE162102PE,Slurry,Electric,ABB SE162102PE Digital input 24VDC,True,True
101,SPM-SCD-002,700005450,Power Supply,ABB,SM16265963,Slurry,Electric,ABB SM16265963 Power Supply,True,True
102,SPM-SCD-003,700005451,Compact MTU module,ABB,SX16250652,Slurry,Electric,ABB SX16250652 Compact MTU module,True,True
103,SPM-SCR-020,700005470,Pressure Indicator,SMC,PMC51-RFE3/1A6,Utility,Electric,SMC PMC51-RFE3/1A6 Pressure Indicator,True,True
104,SPM-WAS-006,700005491,Inverter,Fuji,FRN2.2E1S-4A,Utility,Electric,Fuji FRN2.2E1S-4A Inverter,True,True
105,SPM-WAS-007,700005492,Inverter,Fuji,FRN0.75E1S-4A,Utility,Electric,Fuji FRN0.75E1S-4A Inverter,True,True
106,SPM-WAS-012,700005497,Pressure Switch,,25 Bar,Utility,Electric,25 Bar Pressure Switch,True,True
107,SPM-OXI-002,700005570,Heater brake alarm,PRIMUS,PM CM-005,Coating,Electric,PRIMUS PM CM-005 Heater brake alarm,True,True
108,SPM-RHK-036,700005599,Cylinder,SMC,MGPM25-20Z-M9BWLS-XC4W,Slurry,Pneumatic & Hydraulic,SMC MGPM25-20Z-M9BWLS-XC4W Cylinder,True,True
109,SPM-RHK-037,700005600,Cylinder,SMC,MGPM16-50Z,Slurry,Pneumatic & Hydraulic,SMC MGPM16-50Z Cylinder,True,True
110,SPM-RHK-038,700005601,Cylinder,SMC,MGPM25-50Z-M9BWL-XC4,Slurry,Pneumatic & Hydraulic,SMC MGPM25-50Z-M9BWL-XC4 Cylinder,True,True
111,SPM-RHK-039,700005602,Cylinder,SMC,MGQM32-50-M9BWL,Slurry,Pneumatic & Hydraulic,SMC MGQM32-50-M9BWL Cylinder,True,True
112,SPM-RHK-040,700005603,Cylinder,SMC,MGPM40-125Z-M9BWL,Slurry,Pneumatic & Hydraulic,SMC MGPM40-125Z-M9BWL Cylinder,True,True
113,SPM-COM-055,700004937,Power Supply,Dell,XU100116-12004,Common Part,Electric,Dell XU100116-12004 Power Supply,True,True
114,SPM-SCD-009,700011858,Profibus-DP/V1,ABB,CI854AK01,Slurry,Electric,ABB CI854AK01 Profibus-DP/V1,True,True
115,SPM-SCD-010,700011859,Digital Input,ABB,DI 818,Slurry,Electric,ABB DI 818 Digital Input,True,True
116,SPM-SCD-011,700011860,Digital Output,ABB,DO 818,Slurry,Electric,ABB DO 818 Digital Output,True,True
117,SPM-SCD-012,700011861,Analog Input,ABB,AI810,Slurry,Electric,ABB AI810 Analog Input,True,True
118,SPM-SCD-013,700011862,scription AO810V2 Analog Output,ABB,AO810V2,Slurry,Electric,ABB AO810V2 scription AO810V2 Analog Output,True,True
119,SPM-SCD-014,700011863,SB822 Rechargeable Battery,ABB,SB822,Slurry,Electric,ABB SB822 SB822 Rechargeable Battery,True,True
120,SPM-SCD-015,700011865,Modulebus Cluster,ABB,TB840A,Slurry,Electric,ABB TB840A Modulebus Cluster,True,True
121,SPM-SCD-016,700011866,Compact MTU,ABB,TU818,Slurry,Electric,ABB TU818 Compact MTU,True,True
122,SPM-CHI-007,700005555,Flow sensor thermal DISP,AIRCO LIMITED,SWT03335,Utility,Electric,AIRCO LIMITED SWT03335 Flow sensor thermal DISP,True,True
123,SPM-CHI-008,700005556,Flow sensor control,AIRCO LIMITED,CNT05639,Utility,Electric,AIRCO LIMITED CNT05639 Flow sensor control,True,True
124,SPM-CHI-009,700005557,Water flow switch sensor,AIRCO LIMITED,SEN01674,Utility,Electric,AIRCO LIMITED SEN01674 Water flow switch sensor,True,True
125,SPM-CHI-010,700005558,Clamp adaptor D10,AIRCO LIMITED,"FGT01145 1/2""",Utility,Electric,"AIRCO LIMITED FGT01145 1/2"" Clamp adaptor D10",True,True
126,SPM-CHI-011,700005559,Portable cable,AIRCO LIMITED,"CON01379 1/2""",Utility,Electric,"AIRCO LIMITED CON01379 1/2"" Portable cable",True,True
127,SPM-CHI-012,700005561,Dual relay output,AIRCO LIMITED,X13650733070,Utility,Electric,AIRCO LIMITED X13650733070 Dual relay output,True,True
128,SPM-CHI-006,700005552,Expansion Valve,AIRCO LIMITED,"1 1/8"" x5/8"" M12 Input",Utility,Electric,"AIRCO LIMITED 1 1/8"" x5/8"" M12 Input Expansion Valve",True,True
129,SPM-CHI-002,700004819,Temperature Sensor,Trane,X13651507030,Utility,Electric,Trane X13651507030 Temperature Sensor,True,True
130,SPM-CHI-004,700004821,Step Motor Expansion Valve,Parker,SERI-J M12 LESS CABLE,Utility,Electric,Parker SERI-J M12 LESS CABLE Step Motor Expansion Valve,True,True
131,SPM-COM-043,700004925,Quick connector,Amko Tech,"Cupla 8P-A 1""",Common Part,Mechanical,"Amko Tech Cupla 8P-A 1"" Quick connector",True,True
132,SPM-COM-044,700004926,Quick connector,Amko Tech,"Cupla 8S-A 1""",Common Part,Mechanical,"Amko Tech Cupla 8S-A 1"" Quick connector",True,True
133,SPM-MC4-053,700005065,Coupling,Amko Tech,GR38,Coating,Mechanical,Amko Tech GR38 Coupling,True,True
134,SPM-SCB-003,700005446,Magnehelic,Amko Tech,W46AB SW,Utility,Pneumatic & Hydraulic,Amko Tech W46AB SW Magnehelic,True,True
135,SPM-SCB-004,700005447,Pressure gauge,Amko Tech,W081 S/N 6374806,Utility,Pneumatic & Hydraulic,Amko Tech W081 S/N 6374806 Pressure gauge,True,True
136,SPM-SCB-005,700005448,Pressure Gauge,Amko Tech,0000170327RS,Utility,Pneumatic & Hydraulic,Amko Tech 0000170327RS Pressure Gauge,True,True
137,SPM-SCB-001,700005444,Pressure gauge,Amko Tech,C161100629,Utility,Pneumatic & Hydraulic,Amko Tech C161100629 Pressure gauge,True,True
138,SPM-MC6-086,700005220,Ball Screw shaft,Aero Group,25x5Rx3-4 (T9) L = 460 mm.,Coating,Mechanical,Aero Group 25x5Rx3-4 (T9) L = 460 mm. Ball Screw shaft,True,True
139,SPM-MC6-076,700005210,Single Nut With Flange,Rexroth,MNR-R151221013,Coating,Mechanical,Rexroth MNR-R151221013 Single Nut With Flange,True,True
140,SPM-MC6-033,700005172,Single Nut With Flange,Rexroth,MNR-R150221085,Coating,Mechanical,Rexroth MNR-R150221085 Single Nut With Flange,True,True
141,SPM-MC6-142,,Computer,Delta,HMI Computer,,Electric,Delta HMI Computer Computer,False,True
142,SPM-MC6-137,700005263,Computer,Dell,HMI Computer,Coating,Mechanical,Dell HMI Computer Computer,False,True
143,SPM-COB-078,700004879,Mini Computer,Asia Tech Solution,GT4500-I5-8th,Coating,Electric,Asia Tech Solution GT4500-I5-8th Mini Computer,True,True
144,SPM-SCR-040,700005634,Optical filters 2072345,SICK,Referance filter swivel segment,Utility,Other,SICK Referance filter swivel segment Optical filters 2072345,False,True
145,SPM-SCR-041,700005635,Reflextors and mirrors 2072339,SICK,Zero-Point reflextor swivel segment,Utility,Other,SICK Zero-Point reflextor swivel segment Reflextors and mirrors 2072339,True,True
146,SPM-SCR-042,700005636,Emitter 2082776,SICK,UV Emitter Module,Utility,Other,SICK UV Emitter Module Emitter 2082776,False,True
147,SPM-SCR-043,700005637,Reflextors and mirrors 2072325,SICK,"Divider mirror ""Referance-4Quadrant",Utility,Other,"SICK Divider mirror ""Referance-4Quadrant Reflextors and mirrors 2072325",True,True
148,SPM-SCR-044,700005638,Reflextors and mirrors 2072336,SICK,Main beam splitter,Utility,Other,SICK Main beam splitter Reflextors and mirrors 2072336,False,True
149,SPM-SCR-053,700007024,Drying Agent Cartridge 2010549,Sick GM32,2010549,Utility,Other,Sick GM32 2010549 Drying Agent Cartridge 2010549,False,True
150,SPM-CHI-013,700013148,Thermometer,WISE,T190 Stem Lenge 370 mm.,Slurry,Mechanical,WISE T190 Stem Lenge 370 mm. Thermometer,True,True
151,SPM-CHI-014,700013149,Thermometer,WISE,T190 Stem Lenge 400 mm.,Slurry,Mechanical,WISE T190 Stem Lenge 400 mm. Thermometer,True,True
152,SPM-PRE-074,700011167,Safety Relay,EUCHNER,CES-AZ-AES-04B(104780),Coating,Electric,EUCHNER CES-AZ-AES-04B(104780) Safety Relay,True,True
153,SPM-PRE-045,700005403,Safety Switch,Automation Control,CET1-AX-LRA-00-50X-SC,Coating,Electric,Automation Control CET1-AX-LRA-00-50X-SC Safety Switch,True,True
154,SPM-PRE-046,700005404,Actuator Safety Switch,Automation Control,CET-A-BWK-50X,Coating,Electric,Automation Control CET-A-BWK-50X Actuator Safety Switch,True,True
155,SPM-MC6-166,700007028,Safety Switch Unicode MGB-L2-ARA-BM5A1-S,EUCHNER,MGB-L2-ARA-BM5A1-S1-R-121179,Coating,Electric,EUCHNER MGB-L2-ARA-BM5A1-S1-R-121179 Safety Switch Unicode MGB-L2-ARA-BM5A1-S,True,True
156,SPM-MC6-167,700007029,Escape Release MGB-E-A-100465,EUCHNER,MGB-E-A-100465,Coating,Electric,EUCHNER MGB-E-A-100465 Escape Release MGB-E-A-100465,True,True
157,SPM-MC4-122,700005130,Han 10B-ASG-LB-16,Automation Control,9300101251,Coating,Mechanical,Automation Control 9300101251 Han 10B-ASG-LB-16,False,True
158,SPM-MC4-123,700005131,Han Modular,Automation Control,9140009908,Coating,Mechanical,Automation Control 9140009908 Han Modular,False,True
159,SPM-MC4-124,700005132,Han Modular,Automation Control,9140009909,Coating,Mechanical,Automation Control 9140009909 Han Modular,False,True
160,SPM-MC4-125,700005133,Han 5 MOD STI-ES 16A,Automation Control,9140052616,Coating,Mechanical,Automation Control 9140052616 Han 5 MOD STI-ES 16A,False,True
161,SPM-MC4-126,700005134,Gasket t2 mm.,Automation Control,9140052716,Coating,Mechanical,Automation Control 9140052716 Gasket t2 mm.,False,True
162,SPM-COM-040,700004922,Temperature Control,Automation Control,P6100-2111-002-10,Common Part,Electric,Automation Control P6100-2111-002-10 Temperature Control,True,True
163,SPM-CAL-017,700004814,Inductive Sensor,Automation Control,NI12U-EM18-AP6X-H1141,Coating,Electric,Automation Control NI12U-EM18-AP6X-H1141 Inductive Sensor,True,True
164,SPM-CAL-018,700004815,Connection Cable,Automation Control,RKC4T-2/TEL,Coating,Electric,Automation Control RKC4T-2/TEL Connection Cable,True,True
165,SPM-CAL-019,700004816,Safety Bolt,EUCHNER,Ident.-Nr. 123653 CTP-AC-123653,Coating,Electric,EUCHNER Ident.-Nr. 123653 CTP-AC-123653 Safety Bolt,True,True
166,SPM-MC6-020,700005159,Manual Switch,Euchner,ZSA2B4S05A,Coating,Electric,Euchner ZSA2B4S05A Manual Switch,True,True
167,SPM-MC6-007,700005147,Handle Module,Euchner,MGB-H-AA1A1-R-100464,Coating,Electric,Euchner MGB-H-AA1A1-R-100464 Handle Module,True,True
168,SPM-COM-041,700004923,Capacitive Switch,Euchner,CHT3-F7XB-64/TG-SR,Common Part,Electric,Euchner CHT3-F7XB-64/TG-SR Capacitive Switch,True,True
169,SPM-RHK-026,700005440,Fuse,,CR6L-30,Slurry,Electric,CR6L-30 Fuse,True,True
170,SPM-RHK-027,700005441,Fuse,,250FM 250A 690V,Slurry,Electric,250FM 250A 690V Fuse,True,True
171,SPM-RHK-028,700005442,Magnetic Contactor,,SC-N3,Slurry,Electric,SC-N3 Magnetic Contactor,True,True
172,SPM-COM-058,700005519,Fuse Link,Gunkul,27KV 80A Type K,Common Part,Electric,Gunkul 27KV 80A Type K Fuse Link,True,True
173,SPM-RHK-050,700011240,Overload Relay,FUJI,TR-ON/3 (0.1-0.15A),Slurry,Electric,FUJI TR-ON/3 (0.1-0.15A) Overload Relay,True,True
174,SPM-TRN-028,700011937,Ultra-Thin Picking Sensor,PANASONIC,NA1-5-PN,Coating,Electric,PANASONIC NA1-5-PN Ultra-Thin Picking Sensor,True,True
175,SPM-TRN-029,700011936,Photo Sensor,OIMRON,E3JK-RR12-C 2M,Coating,Electric,OIMRON E3JK-RR12-C 2M Photo Sensor,True,True
176,SPM-TRN-030,700011938,Reflector,OIMRON,E39-R1,Coating,Electric,OIMRON E39-R1 Reflector,True,True
177,SPM-TRN-020,700011463,Miniature Power Relay,Banfaifa,MY2N-GS-R,Coating,Electric,Banfaifa MY2N-GS-R Miniature Power Relay,True,True
178,SPM-COM-100,700013174,Pressure Transmitter,ifm,PA3029,Common Part,Electric,ifm PA3029 Pressure Transmitter,True,True
179,SPM-STO-002,700014012,Inverter,Hoffman Muller,HM-G8A44P0B,Slurry,Electric,Hoffman Muller HM-G8A44P0B Inverter,True,True
180,SPM-COM-084,700007141,Power Supply,Omron,S8FS-C05024 50W 24V 2.2A,Common Part,Electric,Omron S8FS-C05024 50W 24V 2.2A Power Supply,True,True
181,SPM-PRE-068,700010630,Fuse,Siemens,3NA3812 32A SIEMENS,Coating,Electric,Siemens 3NA3812 32A SIEMENS Fuse,True,True
182,SPM-COM-089,700010993,Fuse,BUSSMANN,10x38mm. 4A 500VAC gG C10G4,Common Part,Electric,BUSSMANN 10x38mm. 4A 500VAC gG C10G4 Fuse,True,True
183,SPM-COM-090,700010992,Fuse,BUSSMANN,22x58mm. 50A 690V gG C22G50,Common Part,Electric,BUSSMANN 22x58mm. 50A 690V gG C22G50 Fuse,True,True
